Product ID,Product Name,Category,Supplier,Purchase Date,Stock Qty,Cost Price,Stock value,Product Age
P029,Epson Ink Bottle,Consumables,Epson,12-?????-26,150,320,48000,163
P030,Surge Protector,Electrical,Local Vendor,01-?????-26,85,650,55250,205
P031,CCTV Camera,Security,Hikvision,15-??????-26,30,2500,75000,219
P032,DVR 8 Channel,Security,Hikvision,10-????-26,18,4200,75600,255
P033,CAT6 Network Cable,Networking,Local Vendor,01-?????-25,500,22,11000,295
P034,Power Bank 10000mAh,Accessories,Boat,15-?????-25,75,850,63750,342
P035,Bluetooth Keyboard,Accessories,Logitech,20-??????-25,40,1800,72000,367
P036,Webcam Full HD,Accessories,Logitech,10-??-25,28,2400,67200,408
P037,SSD 512GB,Storage,Samsung,12-????-25,95,2200,209000,437
P038,SSD 256GB,Storage,Samsung,20-???-25,120,1400,168000,459
P039,Mouse Pad XL,Accessories,Local Vendor,05-??-25,180,150,27000,505
P040,RGB Keyboard,Accessories,Redington,22-?????-25,50,2200,110000,518
P041,Wireless Mouse,Accessories,Logitech,15-?????-25,85,950,80750,556
P042,Laptop Battery Dell,Spare Parts,Dell,10-??????-25,25,3200,80000,589
P043,Laptop Charger HP,Spare Parts,HP Direct,18-????-25,45,1800,81000,612
P044,RAM 8GB DDR4,Components,Kingston,12-??-25,90,1600,144000,498
P045,RAM 16GB DDR4,Components,Kingston,05-???-25,65,2800,182000,474
P046,Graphic Card GTX1650,Components,Asus Direct,15-????-25,8,14500,116000,434
P047,Graphic Card RTX3060,Components,Asus Direct,20-??-25,5,28000,140000,398
P048,Motherboard B450,Components,Gigabyte,01-??????-25,18,6200,111600,386
P049,SMPS 550W,Components,Cooler Master,15-?????-25,35,3200,112000,342
P050,Processor Ryzen 5,Components,AMD Distributor,10-???????-25,12,9500,114000,316
P051,Logitech MX Master 3S,Accessories,Logitech,15-?????-25,22,6200,136400,281
P052,"Dell 24"" Monitor",Monitors,Dell,25-????-26,18,8900,160200,240
P053,Samsung SSD 2TB,Storage,Samsung,18-??????-26,35,7800,273000,216
P054,WD Black NVMe 1TB,Storage,WD Direct,15-?????-26,42,6400,268800,191
P055,Lenovo Docking Station,Accessories,Lenovo Direct,10-?????-26,15,7200,108000,165
P056,HP LaserJet MFP,Printers,HP Direct,05-??-26,8,16500,132000,140
P057,TP-Link AX3000 Router,Networking,TP-Link,15-??????-26,24,4200,100800,219
P058,Logitech Brio Webcam,Accessories,Logitech,10-????-26,12,8500,102000,255
P059,Kingston DDR5 16GB,Components,Kingston,28-????-26,55,3400,187000,237
P060,Kingston DDR5 32GB,Components,Kingston,15-????-26,30,6800,204000,250
P061,Samsung SSD 1TB EVO,Storage,Samsung,08-????-26,70,4200,294000,257
P062,Dell Wireless Keyboard,Accessories,Dell,02-????-26,85,950,80750,263
P063,HP Toner Cartridge,Printers,HP Direct,20-?????-25,120,850,102000,276
P064,Canon Toner Cartridge,Printers,Canon Direct,15-?????-25,95,780,74100,281
P065,HDMI Cable 2 Meter,Accessories,Local Vendor,10-?????-25,350,110,38500,286
P066,USB Hub 4 Port,Accessories,Local Vendor,05-?????-25,140,220,30800,291
P067,"Asus Gaming Monitor 27""",Monitors,Asus Direct,25-???????-25,10,18500,185000,301
P068,WD External HDD 2TB,Storage,WD Direct,15-???????-25,28,4600,128800,311
P069,Laptop Backpack Premium,Accessories,Lenovo Direct,01-???????-25,75,650,48750,325
P070,TP-Link Switch 8 Port,Networking,TP-Link,20-?????-25,22,1700,37400,337
P071,Logitech G304 Mouse,Accessories,Logitech,12-?????-25,40,2100,84000,345
P072,Bluetooth Keyboard,Accessories,Logitech,08-?????-25,32,1800,57600,349
P073,Webcam Full HD,Accessories,Logitech,02-?????-25,28,2400,67200,355
P074,Power Bank 10000mAh,Accessories,Boat,25-??????-25,75,850,63750,362
P075,Noise Smart Watch,Accessories,Noise,15-??????-25,45,1800,81000,372
P076,WiFi Adapter USB,Networking,TP-Link,01-??-25,80,700,56000,509
P077,SSD 512GB Samsung,Storage,Samsung,15-??-25,95,2200,209000,495
P078,SSD 256GB Samsung,Storage,Samsung,10-???-25,120,1400,168000,469
P079,Laptop Cooling Pad,Accessories,Local Vendor,15-????-25,65,350,22750,434
P080,Laptop Stand Aluminum,Accessories,Local Vendor,10-??-25,55,550,30250,408
P081,CAT6 Cable Box,Networking,Local Vendor,15-??????-25,25,4200,105000,372
P082,RJ45 Connector Pack,Networking,Local Vendor,10-?????-25,180,90,16200,347
P083,CCTV Camera HD,Security,Hikvision,15-???????-25,30,2500,75000,311
P084,DVR 8 Channel,Security,Hikvision,10-?????-25,18,4200,75600,286
P085,Epson Ink Bottle,Consumables,Epson,15-????-26,150,320,48000,250
P086,Printer Paper A4,Consumables,Local Vendor,01-??????-26,200,180,36000,233
P087,Surge Protector,Electrical,Local Vendor,15-??????-26,85,650,55250,219
P088,Wireless Mouse,Accessories,Logitech,10-?????-26,85,950,80750,196
P089,RGB Keyboard,Accessories,Redington,15-?????-26,50,2200,110000,160
P090,Gaming Headset,Accessories,Logitech,10-??-26,35,2800,98000,135
P091,Laptop Battery Dell,Spare Parts,Dell,25-???-25,25,3200,80000,454
P092,Laptop Charger HP,Spare Parts,HP Direct,20-???-25,45,1800,81000,459
P093,RAM 8GB DDR4,Components,Kingston,15-???-25,90,1600,144000,464
P094,RAM 16GB DDR4,Components,Kingston,10-???-25,65,2800,182000,469
P095,Motherboard B450,Components,Gigabyte,05-???-25,18,6200,111600,474
P096,SMPS 550W,Components,Cooler Master,01-???-25,35,3200,112000,478
P097,Ryzen 5 Processor,Components,AMD Distributor,25-??-25,12,9500,114000,485
P098,Intel i5 Processor,Components,Intel Distributor,20-??-25,10,14500,145000,490
P099,GTX 1650 Graphic Card,Components,Asus Direct,15-??-25,8,14500,116000,495
P100,RTX 3060 Graphic Card,Components,Asus Direct,10-??-25,5,28000,140000,500
P1000,HDMI Cable,Accessories,Local Vendor,20-?????-24,150,75,11250,641
P1001,Logitech Mouse,Accessories,Ingram,19-?????-24,70,378,26460,642
P1002,Dell Keyboard,Accessories,Redington,19-?????-24,48,475,22800,642
P1003,HDMI Cable,Accessories,Local Vendor,18-?????-24,145,74,10730,643
P1004,USB Hub,Accessories,Local Vendor,18-?????-24,45,188,8460,643
P1005,Samsung SSD 1TB,Storage,Samsung,17-?????-24,20,3650,73000,644
P1006,WD HDD 2TB,Storage,WD Direct,17-?????-24,10,2780,27800,644
P1007,TP-Link Router,Networking,TP-Link,16-?????-24,8,1160,9280,645
P1008,Wireless Keyboard,Accessories,Ingram,16-?????-24,25,960,24000,645
P1009,Printer Paper A4,Consumables,Local Vendor,15-?????-24,160,135,21600,646
P101,Logitech Mouse,Accessories,Ingram,15-??-26,120,470,56400,130
P1010,Epson Ink Bottle,Consumables,Epson,15-?????-24,75,245,18375,646
P1011,CAT6 Network Cable,Networking,Local Vendor,14-?????-24,180,14,2520,647
P1012,Gaming Mouse RGB,Accessories,Logitech,14-?????-24,15,780,11700,647
P1013,Power Bank 10000mAh,Accessories,Boat,13-?????-24,32,750,24000,648
P1014,Laptop Backpack Premium,Accessories,Lenovo Direct,13-?????-24,28,560,15680,648
P1015,SSD 512GB Samsung,Storage,Samsung,12-?????-24,45,1980,89100,649
P1016,SSD 256GB Samsung,Storage,Samsung,12-?????-24,60,1240,74400,649
P1017,WiFi Adapter USB,Networking,TP-Link,11-?????-24,40,600,24000,650
P1018,CCTV Camera HD,Security,Hikvision,11-?????-24,5,2020,10100,650
P1019,Surge Protector,Electrical,Local Vendor,10-?????-24,48,560,26880,651
P102,Dell Keyboard,Accessories,Redington,05-??-26,90,565,50850,140
P1020,USB Type-C Cable,Accessories,Local Vendor,10-?????-24,200,74,14800,651
P1021,Webcam Full HD,Accessories,Logitech,09-?????-24,10,2150,21500,652
P1022,Bluetooth Speaker,Accessories,Boat,09-?????-24,25,820,20500,652
P1023,HP Ink Cartridge,Printers,HP Direct,08-?????-24,90,820,73800,653
P1024,Canon Ink Cartridge,Printers,Canon Direct,08-?????-24,70,790,55300,653
P1025,RAM 8GB DDR4,Components,Kingston,07-?????-24,55,1360,74800,654
P1026,RAM 16GB DDR4,Components,Kingston,07-?????-24,38,2450,93100,654
P1027,Laptop Charger HP,Spare Parts,HP Direct,06-?????-24,18,1550,27900,655
P1028,Laptop Battery Dell,Spare Parts,Dell,06-?????-24,8,2850,22800,655
P1029,TP-Link Switch 8 Port,Networking,TP-Link,05-?????-24,5,1500,7500,656
P103,HDMI Cable,Accessories,Local Vendor,20-??-26,300,115,34500,125
P1030,SSD Enclosure,Storage,Ingram,05-?????-24,15,390,5850,656
P1031,Laptop Stand,Accessories,Local Vendor,04-?????-24,25,450,11250,657
P1032,Wireless Mouse,Accessories,Logitech,04-?????-24,35,830,29050,657
P1033,RGB Keyboard,Accessories,Redington,03-?????-24,10,1880,18800,658
P1034,Gaming Headset,Accessories,Logitech,03-?????-24,8,2350,18800,658
P1035,Logitech Mouse,Accessories,Ingram,02-?????-24,68,375,25500,659
P1036,HDMI Cable,Accessories,Local Vendor,02-?????-24,140,73,10220,659
P104,USB Hub,Accessories,Local Vendor,18-??-26,100,240,24000,127
P105,Samsung SSD 1TB,Storage,Samsung,10-??-26,45,4100,184500,135
P106,WD HDD 2TB,Storage,WD Direct,05-??-26,30,3250,97500,140
P107,TP-Link Router,Networking,TP-Link,01-??-26,35,1480,51800,144
P108,Wireless Keyboard,Accessories,Ingram,25-?????-26,60,1080,64800,150
P109,Printer Paper A4,Consumables,Local Vendor,22-?????-26,250,185,46250,153
P110,Epson Ink Bottle,Consumables,Epson,20-?????-26,100,330,33000,155
P111,CAT6 Network Cable,Networking,Local Vendor,15-?????-26,450,24,10800,160
P112,Logitech Mouse,Accessories,Ingram,10-?????-26,80,460,36800,165
P113,Gaming Mouse RGB,Accessories,Logitech,05-?????-26,35,870,30450,170
P114,Power Bank 10000mAh,Accessories,Boat,01-?????-26,65,880,57200,174
P115,Laptop Backpack Premium,Accessories,Lenovo Direct,25-?????-26,40,670,26800,181
P116,SSD 512GB Samsung,Storage,Samsung,20-?????-26,75,2250,168750,186
P117,SSD 256GB Samsung,Storage,Samsung,15-?????-26,90,1450,130500,191
P118,WiFi Adapter USB,Networking,TP-Link,10-?????-26,55,720,39600,196
P119,CCTV Camera HD,Security,Hikvision,05-?????-26,22,2550,56100,201
P120,Surge Protector,Electrical,Local Vendor,01-?????-26,60,660,39600,205
P121,Dell Keyboard,Accessories,Redington,25-??????-26,75,555,41625,209
P122,HDMI Cable,Accessories,Local Vendor,20-??????-26,280,118,33040,214
P123,USB Type-C Cable,Accessories,Local Vendor,15-??????-26,350,95,33250,219
P124,Webcam Full HD,Accessories,Logitech,10-??????-26,25,2450,61250,224
P125,Bluetooth Speaker,Accessories,Boat,05-??????-26,55,980,53900,229
P126,HP Ink Cartridge,Printers,HP Direct,01-??????-26,140,970,135800,233
P127,Canon Ink Cartridge,Printers,Canon Direct,28-????-26,110,920,101200,237
P128,RAM 8GB DDR4,Components,Kingston,25-????-26,70,1650,115500,240
P129,RAM 16GB DDR4,Components,Kingston,20-????-26,55,2850,156750,245
P130,Laptop Charger HP,Spare Parts,HP Direct,15-????-26,35,1820,63700,250
P131,Laptop Battery Dell,Spare Parts,Dell,10-????-26,20,3250,65000,255
P132,TP-Link Switch 8 Port,Networking,TP-Link,05-????-26,18,1750,31500,260
P133,Logitech Mouse,Accessories,Ingram,28-?????-25,95,455,43225,268
P134,USB Hub,Accessories,Local Vendor,20-?????-25,85,235,19975,276
P135,HDMI Cable,Accessories,Local Vendor,15-?????-25,220,112,24640,281
P136,SSD Enclosure,Storage,Ingram,10-?????-25,35,470,16450,286
P137,Laptop Stand,Accessories,Local Vendor,05-?????-25,50,560,28000,291
P138,Wireless Mouse,Accessories,Logitech,01-?????-25,65,980,63700,295
P139,RGB Keyboard,Accessories,Redington,25-???????-25,30,2250,67500,301
P140,Gaming Headset,Accessories,Logitech,20-???????-25,22,2850,62700,306
P141,Printer Paper A4,Consumables,Local Vendor,15-???????-25,300,175,52500,311
P142,Epson Ink Bottle,Consumables,Epson,10-???????-25,130,310,40300,316
P143,Samsung SSD 1TB,Storage,Samsung,05-???????-25,50,4000,200000,321
P144,WD HDD 2TB,Storage,WD Direct,01-???????-25,35,3180,111300,325
P145,TP-Link Router,Networking,TP-Link,25-?????-25,28,1460,40880,332
P146,CAT6 Network Cable,Networking,Local Vendor,20-?????-25,400,23,9200,337
P147,CCTV Camera HD,Security,Hikvision,15-?????-25,18,2480,44640,342
P148,Logitech Mouse,Accessories,Ingram,10-?????-25,110,445,48950,347
P149,Dell Keyboard,Accessories,Redington,05-?????-25,80,540,43200,352
P150,HDMI Cable,Accessories,Local Vendor,01-?????-25,260,108,28080,356
P151,Logitech Mouse,Accessories,Ingram,25-??????-25,95,455,43225,362
P152,Dell Keyboard,Accessories,Redington,20-??????-25,75,545,40875,367
P153,HDMI Cable,Accessories,Local Vendor,15-??????-25,240,110,26400,372
P154,USB Hub,Accessories,Local Vendor,10-??????-25,85,225,19125,377
P155,Samsung SSD 1TB,Storage,Samsung,05-??????-25,55,4050,222750,382
P156,WD HDD 2TB,Storage,WD Direct,01-??????-25,40,3180,127200,386
P157,TP-Link Router,Networking,TP-Link,25-??-25,25,1450,36250,393
P158,Wireless Keyboard,Accessories,Ingram,20-??-25,45,1050,47250,398
P159,Printer Paper A4,Consumables,Local Vendor,15-??-25,180,175,31500,403
P160,Epson Ink Bottle,Consumables,Epson,10-??-25,110,315,34650,408
P161,CAT6 Network Cable,Networking,Local Vendor,05-??-25,350,23,8050,413
P162,Logitech Mouse,Accessories,Ingram,01-??-25,80,450,36000,417
P163,Gaming Mouse RGB,Accessories,Logitech,25-????-25,28,860,24080,424
P164,Power Bank 10000mAh,Accessories,Boat,20-????-25,60,840,50400,429
P165,Laptop Backpack Premium,Accessories,Lenovo Direct,15-????-25,50,640,32000,434
P166,SSD 512GB Samsung,Storage,Samsung,10-????-25,70,2180,152600,439
P167,SSD 256GB Samsung,Storage,Samsung,05-????-25,85,1380,117300,444
P168,WiFi Adapter USB,Networking,TP-Link,01-????-25,60,680,40800,448
P169,CCTV Camera HD,Security,Hikvision,25-???-25,20,2480,49600,454
P170,Surge Protector,Electrical,Local Vendor,20-???-25,75,640,48000,459
P171,Dell Keyboard,Accessories,Redington,15-???-25,70,535,37450,464
P172,HDMI Cable,Accessories,Local Vendor,10-???-25,260,105,27300,469
P173,USB Type-C Cable,Accessories,Local Vendor,05-???-25,320,88,28160,474
P174,Webcam Full HD,Accessories,Logitech,01-???-25,22,2380,52360,478
P175,Bluetooth Speaker,Accessories,Boat,25-??-25,50,930,46500,485
P176,HP Ink Cartridge,Printers,HP Direct,20-??-25,130,920,119600,490
P177,Canon Ink Cartridge,Printers,Canon Direct,15-??-25,105,890,93450,495
P178,RAM 8GB DDR4,Components,Kingston,10-??-25,80,1580,126400,500
P179,RAM 16GB DDR4,Components,Kingston,05-??-25,60,2750,165000,505
P180,Laptop Charger HP,Spare Parts,HP Direct,01-??-25,38,1760,66880,509
P181,Laptop Battery Dell,Spare Parts,Dell,25-?????-25,18,3150,56700,515
P182,TP-Link Switch 8 Port,Networking,TP-Link,20-?????-25,15,1720,25800,520
P183,Logitech Mouse,Accessories,Ingram,15-?????-25,90,445,40050,525
P184,USB Hub,Accessories,Local Vendor,10-?????-25,80,220,17600,530
P185,HDMI Cable,Accessories,Local Vendor,05-?????-25,220,102,22440,535
P186,SSD Enclosure,Storage,Ingram,01-?????-25,30,450,13500,539
P187,Laptop Stand,Accessories,Local Vendor,25-?????-25,45,540,24300,546
P188,Wireless Mouse,Accessories,Logitech,20-?????-25,55,920,50600,551
P189,RGB Keyboard,Accessories,Redington,15-?????-25,28,2180,61040,556
P190,Gaming Headset,Accessories,Logitech,10-?????-25,18,2750,49500,561
P191,Printer Paper A4,Consumables,Local Vendor,05-?????-25,250,170,42500,566
P192,Epson Ink Bottle,Consumables,Epson,01-?????-25,120,300,36000,570
P193,Samsung SSD 1TB,Storage,Samsung,25-??????-25,45,3950,177750,574
P194,WD HDD 2TB,Storage,WD Direct,20-??????-25,30,3120,93600,579
P195,TP-Link Router,Networking,TP-Link,15-??????-25,20,1420,28400,584
P196,CAT6 Network Cable,Networking,Local Vendor,10-??????-25,300,22,6600,589
P197,CCTV Camera HD,Security,Hikvision,05-??????-25,15,2420,36300,594
P198,Logitech Mouse,Accessories,Ingram,01-??????-25,100,440,44000,598
P199,Dell Keyboard,Accessories,Redington,25-????-25,75,525,39375,605
P200,HDMI Cable,Accessories,Local Vendor,20-????-25,240,100,24000,610
P201,Logitech Mouse,Accessories,Ingram,15-????-25,85,435,36975,615
P202,Dell Keyboard,Accessories,Redington,10-????-25,70,520,36400,620
P203,HDMI Cable,Accessories,Local Vendor,05-????-25,220,98,21560,625
P204,USB Hub,Accessories,Local Vendor,01-????-25,75,215,16125,629
P205,Samsung SSD 1TB,Storage,Samsung,28-?????-24,40,3900,156000,633
P206,WD HDD 2TB,Storage,WD Direct,25-?????-24,28,3080,86240,636
P207,TP-Link Router,Networking,TP-Link,20-?????-24,18,1400,25200,641
P208,Wireless Keyboard,Accessories,Ingram,15-?????-24,40,1020,40800,646
P209,Printer Paper A4,Consumables,Local Vendor,10-?????-24,220,168,36960,651
P210,Epson Ink Bottle,Consumables,Epson,05-?????-24,110,295,32450,656
P211,CAT6 Network Cable,Networking,Local Vendor,01-?????-24,280,21,5880,660
P212,Logitech Mouse,Accessories,Ingram,25-???????-24,75,430,32250,666
P213,Gaming Mouse RGB,Accessories,Logitech,20-???????-24,25,840,21000,671
P214,Power Bank 10000mAh,Accessories,Boat,15-???????-24,55,820,45100,676
P215,Laptop Backpack Premium,Accessories,Lenovo Direct,10-???????-24,45,620,27900,681
P216,SSD 512GB Samsung,Storage,Samsung,05-???????-24,65,2150,139750,686
P217,SSD 256GB Samsung,Storage,Samsung,01-???????-24,80,1350,108000,690
P218,WiFi Adapter USB,Networking,TP-Link,13-??-25,55,660,36300,497
P219,CCTV Camera HD,Security,Hikvision,08-??-25,18,2380,42840,502
P220,Surge Protector,Electrical,Local Vendor,03-??-25,70,620,43400,507
P221,Dell Keyboard,Accessories,Redington,28-?????-25,65,515,33475,512
P222,HDMI Cable,Accessories,Local Vendor,23-?????-25,210,96,20160,517
P223,USB Type-C Cable,Accessories,Local Vendor,19-?????-25,280,85,23800,521
P224,Webcam Full HD,Accessories,Logitech,13-?????-25,20,2350,47000,527
P225,Bluetooth Speaker,Accessories,Boat,08-?????-25,45,910,40950,532
P226,HP Ink Cartridge,Printers,HP Direct,03-?????-25,120,900,108000,537
P227,Canon Ink Cartridge,Printers,Canon Direct,29-?????-25,95,870,82650,542
P228,RAM 8GB DDR4,Components,Kingston,24-?????-25,75,1550,116250,547
P229,RAM 16GB DDR4,Components,Kingston,20-?????-25,55,2700,148500,551
P230,Laptop Charger HP,Spare Parts,HP Direct,13-?????-25,35,1720,60200,558
P231,Laptop Battery Dell,Spare Parts,Dell,08-?????-25,16,3100,49600,563
P232,TP-Link Switch 8 Port,Networking,TP-Link,03-?????-25,12,1680,20160,568
P233,Logitech Mouse,Accessories,Ingram,26-??????-25,80,425,34000,573
P234,USB Hub,Accessories,Local Vendor,21-??????-25,70,210,14700,578
P235,HDMI Cable,Accessories,Local Vendor,17-??????-25,200,95,19000,582
P236,SSD Enclosure,Storage,Ingram,18-?????-25,28,430,12040,339
P237,Laptop Stand,Accessories,Local Vendor,13-?????-25,40,520,20800,344
P238,Wireless Mouse,Accessories,Logitech,08-?????-25,50,900,45000,349
P239,RGB Keyboard,Accessories,Redington,03-?????-25,25,2100,52500,354
P240,Gaming Headset,Accessories,Logitech,28-??????-25,16,2680,42880,359
P241,Printer Paper A4,Consumables,Local Vendor,24-??????-25,240,165,39600,363
P242,Epson Ink Bottle,Consumables,Epson,18-??????-25,115,290,33350,369
P243,Samsung SSD 1TB,Storage,Samsung,13-??????-25,40,3850,154000,374
P244,WD HDD 2TB,Storage,WD Direct,08-??????-25,25,3050,76250,379
P245,TP-Link Router,Networking,TP-Link,03-??????-25,18,1380,24840,384
P246,CAT6 Network Cable,Networking,Local Vendor,29-??-25,260,20,5200,389
P247,CCTV Camera HD,Security,Hikvision,25-??-25,14,2350,32900,393
P248,Logitech Mouse,Accessories,Ingram,18-??-25,90,420,37800,400
P249,Dell Keyboard,Accessories,Redington,13-??-25,65,510,33150,405
P250,HDMI Cable,Accessories,Local Vendor,08-??-25,220,92,20240,410
P251,Logitech Mouse,Accessories,Ingram,03-??-25,85,415,35275,415
P252,Dell Keyboard,Accessories,Redington,29-????-25,60,505,30300,420
P253,HDMI Cable,Accessories,Local Vendor,25-????-25,210,90,18900,424
P254,USB Hub,Accessories,Local Vendor,19-????-25,65,205,13325,430
P255,Samsung SSD 1TB,Storage,Samsung,14-????-25,35,3800,133000,435
P256,WD HDD 2TB,Storage,WD Direct,09-????-25,22,3000,66000,440
P257,TP-Link Router,Networking,TP-Link,04-????-25,15,1350,20250,445
P258,Wireless Keyboard,Accessories,Ingram,29-???-25,35,990,34650,450
P259,Printer Paper A4,Consumables,Local Vendor,25-???-25,200,160,32000,454
P260,Epson Ink Bottle,Consumables,Epson,18-???-25,100,285,28500,461
P261,CAT6 Network Cable,Networking,Local Vendor,13-???-25,250,20,5000,466
P262,Logitech Mouse,Accessories,Ingram,08-???-25,75,410,30750,471
P263,Gaming Mouse RGB,Accessories,Logitech,03-???-25,22,820,18040,476
P264,Power Bank 10000mAh,Accessories,Boat,29-??-25,50,800,40000,481
P265,Laptop Backpack Premium,Accessories,Lenovo Direct,25-??-25,40,600,24000,485
P266,SSD 512GB Samsung,Storage,Samsung,20-??-25,60,2100,126000,490
P267,SSD 256GB Samsung,Storage,Samsung,15-??-25,75,1320,99000,495
P268,WiFi Adapter USB,Networking,TP-Link,10-??-25,50,640,32000,500
P269,CCTV Camera HD,Security,Hikvision,05-??-25,15,2300,34500,505
P270,Surge Protector,Electrical,Local Vendor,30-?????-25,65,600,39000,510
P271,Dell Keyboard,Accessories,Redington,26-?????-25,55,500,27500,514
P272,HDMI Cable,Accessories,Local Vendor,19-?????-25,200,88,17600,521
P273,USB Type-C Cable,Accessories,Local Vendor,14-?????-25,260,82,21320,526
P274,Webcam Full HD,Accessories,Logitech,09-?????-25,18,2280,41040,531
P275,Bluetooth Speaker,Accessories,Boat,04-?????-25,40,880,35200,536
P276,HP Ink Cartridge,Printers,HP Direct,30-?????-25,110,880,96800,541
P277,Canon Ink Cartridge,Printers,Canon Direct,26-?????-25,90,850,76500,545
P278,RAM 8GB DDR4,Components,Kingston,19-?????-25,70,1500,105000,552
P279,RAM 16GB DDR4,Components,Kingston,14-?????-25,50,2650,132500,557
P280,Laptop Charger HP,Spare Parts,HP Direct,09-?????-25,30,1680,50400,562
P281,Laptop Battery Dell,Spare Parts,Dell,04-?????-25,15,3050,45750,567
P282,TP-Link Switch 8 Port,Networking,TP-Link,27-??????-25,10,1650,16500,572
P283,Logitech Mouse,Accessories,Ingram,23-??????-25,70,405,28350,576
P284,USB Hub,Accessories,Local Vendor,17-??????-25,60,200,12000,582
P285,HDMI Cable,Accessories,Local Vendor,12-??????-25,190,86,16340,587
P286,SSD Enclosure,Storage,Ingram,07-??????-25,25,420,10500,592
P287,Laptop Stand,Accessories,Local Vendor,02-??????-25,35,500,17500,597
P288,Wireless Mouse,Accessories,Logitech,28-????-25,45,880,39600,602
P289,RGB Keyboard,Accessories,Redington,24-????-25,22,2050,45100,606
P290,Gaming Headset,Accessories,Logitech,08-?????-25,15,2600,39000,563
P291,Printer Paper A4,Consumables,Local Vendor,03-?????-25,220,155,34100,568
P292,Epson Ink Bottle,Consumables,Epson,26-??????-25,110,280,30800,573
P293,Samsung SSD 1TB,Storage,Samsung,21-??????-25,35,3750,131250,578
P294,WD HDD 2TB,Storage,WD Direct,16-??????-25,20,2950,59000,583
P295,TP-Link Router,Networking,TP-Link,12-??????-25,15,1320,19800,587
P296,CAT6 Network Cable,Networking,Local Vendor,06-??????-25,240,19,4560,593
P297,CCTV Camera HD,Security,Hikvision,01-??????-25,12,2280,27360,598
P298,Logitech Mouse,Accessories,Ingram,27-????-25,80,400,32000,603
P299,Dell Keyboard,Accessories,Redington,22-????-25,55,495,27225,608
P300,HDMI Cable,Accessories,Local Vendor,17-????-25,200,85,17000,613
P301,Logitech Mouse,Accessories,Ingram,28-???-25,95,465,44175,451
P302,Dell Keyboard,Accessories,Redington,26-???-25,80,555,44400,453
P303,HDMI Cable,Accessories,Local Vendor,25-???-25,280,115,32200,454
P304,USB Hub,Accessories,Local Vendor,24-???-25,90,235,21150,455
P305,Samsung SSD 1TB,Storage,Samsung,23-???-25,55,4150,228250,456
P306,WD HDD 2TB,Storage,WD Direct,22-???-25,35,3200,112000,457
P307,TP-Link Router,Networking,TP-Link,21-???-25,22,1450,31900,458
P308,Wireless Keyboard,Accessories,Ingram,20-???-25,45,1080,48600,459
P309,Printer Paper A4,Consumables,Local Vendor,19-???-25,240,175,42000,460
P310,Epson Ink Bottle,Consumables,Epson,18-???-25,130,315,40950,461
P311,CAT6 Network Cable,Networking,Local Vendor,17-???-25,420,22,9240,462
P312,Logitech Mouse,Accessories,Ingram,16-???-25,85,460,39100,463
P313,Gaming Mouse RGB,Accessories,Logitech,15-???-25,32,860,27520,464
P314,Power Bank 10000mAh,Accessories,Boat,14-???-25,60,840,50400,465
